model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,group_type,group
143,grouped_current_model,2026-04-01,2026-06-29,38,20,18,0,0.5263157894736842,-58.473684210526315,0.5339226216758217,-0.03129405047236028,-1.1891739179496907,0.6023851596937622,-0.32552953310076616,-0.03011030791003068,0.26053641731884286,-0.2041482692907902,-7.616161616161618,5,0.5766,19,0.7400770084815775,0.0,0.47368421052631576,team,143
144,grouped_current_model,2026-03-27,2026-06-28,28,20,8,0,0.7142857142857143,-36.107142857142854,0.5277729038423418,0.38362192514472143,10.7414139040522,0.035303058552853914,0.036328192172237324,0.3882075688048322,0.7113483177018467,2.205820590378158,-2.473684210526315,2,0.018,12,0.3855401815226657,0.6496178718401135,0.5833333333333334,team,144
145,grouped_current_model,2026-04-08,2026-04-25,2,1,1,0,0.5,119.0,0.45739348370927313,0.050000000000000044,0.10000000000000009,0.7055781684788411,-1.0,0.050000000000000044,1.1,0.04761904761904767,-1.0,1,0.2338,1,-6.25,-6.25,0.0,team,145
146,grouped_current_model,2026-03-28,2026-06-14,9,4,5,0,0.4444444444444444,-20.88888888888889,0.5168828892385467,-0.1837471170804504,-1.6537240537240536,0.7781862789606895,-0.783068783068783,-0.18374711708045044,0.4318311626644939,-0.5615195789077609,-3.0476190476190474,3,0.712,2,1.1743134132765953,1.1743134132765953,1.0,team,146
147,grouped_current_model,2026-04-03,2026-06-29,37,21,16,0,0.5675675675675675,-17.864864864864863,0.5186821431129821,0.09374651373658095,3.4686210082534954,0.3342914204813682,-0.23042368665328372,0.09451115861389354,0.39909076270337124,0.5798749275279576,-8.682618321041694,4,0.2764,16,1.8142684614591564,0.6585438225584994,0.5625,team,147
158,grouped_current_model,2026-03-30,2026-06-29,30,11,19,0,0.36666666666666664,-8.833333333333334,0.5139084840187024,-0.31663996124341126,-9.499198837302337,0.9643545988667853,-0.6311371085055294,-0.32031908231256545,0.017462153149519023,-1.8709617899259867,-11.715083681750347,6,0.9664,21,2.9478322165948634,0.8695652173913215,0.5714285714285714,team,158
108,grouped_current_model,2026-03-30,2026-06-21,8,4,4,0,0.5,22.75,0.5015564313070993,-0.04386790039229063,-0.35094320313832505,0.6401181113987777,-0.73875,-0.04386790039229063,0.6598516118028314,-0.1191098177487421,-2.0,2,0.5624,1,0.0,0.0,0.0,opponent,108
109,grouped_current_model,2026-04-01,2026-06-28,11,6,5,0,0.5454545454545454,-1.0,0.5173083757291997,0.06491151128704616,0.7140266241575077,0.5467608710378952,-0.5014454893765238,0.06491151128704614,0.6525949146638802,0.2073106604473828,-3.1103448275862067,2,0.3998,5,-3.180039349872459,-5.349794238683126,0.4,opponent,109
110,grouped_current_model,2026-04-01,2026-06-21,17,15,2,0,0.8823529411764706,-10.705882352941176,0.5093988102259632,0.754484664804838,12.826239301682246,0.001502792795433776,0.38640466972195997,0.7662055550085841,1.0414018286896043,4.429091376004371,-1.0,1,0.0,8,-0.3718090668128893,-0.6639026067843834,0.375,opponent,110
111,grouped_current_model,2026-03-26,2026-06-28,27,19,8,0,0.7037037037037037,-29.25925925925926,0.5215789875559435,0.37326697376498097,10.078208291654486,0.04293107495039984,0.026947631132629775,0.38039312204240694,0.7103511312519508,2.077920894072199,-3.0630573248407647,2,0.0196,16,1.3890473955488756,1.3354733652780726,0.625,opponent,111
112,grouped_current_model,2026-04-01,2026-06-28,27,13,14,0,0.48148148148148145,-23.0,0.5230524448959206,-0.10376392207428115,-2.801625896005591,0.7342472061432861,-0.4505961042868812,-0.10148753285140114,0.25330518063487567,-0.5630623621549785,-7.696390658174099,8,0.7132,15,2.324055912230272,0.4629629629629539,0.5333333333333333,opponent,112
113,grouped_current_model,2026-04-01,2026-06-29,30,18,12,0,0.6,5.566666666666666,0.5121365293119042,0.17247171137106024,5.174151341131807,0.21810765564622395,-0.18028817911936953,0.17476685064989161,0.5214260023276402,0.9413340605997463,-3.0476190476190474,3,0.1672,16,-0.17674804195297966,1.1204146730462328,0.625,opponent,113
114,grouped_current_model,2026-04-08,2026-06-16,31,19,12,0,0.6129032258064516,-25.677419354838708,0.5284237700633135,0.18935950238979746,5.870144574083721,0.22365040655171997,-0.14974714583651694,0.18950179724949845,0.5244657296806102,1.0647774560892638,-4.977777777777778,3,0.1454,12,3.2613986894382525,1.4187866927592996,0.75,opponent,114
115,grouped_current_model,2026-03-28,2026-06-24,16,6,10,0,0.375,27.125,0.49390732246477387,-0.24185799319727894,-3.869727891156463,0.8857351908713564,-0.7375,-0.24309098639455787,0.26443930697278833,-0.9468458117275942,-6.219727891156463,3,0.8438,8,6.17136838291467,3.8763909046927947,0.75,opponent,115
116,grouped_current_model,2026-04-01,2026-06-29,29,19,10,0,0.6551724137931034,-24.79310344827586,0.5260758420856437,0.230521955231197,6.685136701704713,0.1132660048176106,-0.10069731480490095,0.2364617184332148,0.5634165848824813,1.3396413129122513,-2.0,3,0.0884,14,-0.43181781117358486,0.0,0.42857142857142855,opponent,116
117,grouped_current_model,2026-04-05,2026-06-28,11,2,9,0,0.18181818181818182,28.727272727272727,0.4949195423162484,-0.5881818181818183,-6.470000000000001,0.993572177307433,-1.0,-0.5881818181818183,0.021818181818181678,-2.1272883994423815,-5.470000000000001,4,0.9618,4,-3.521971733475207,-3.2332438784730577,0.25,opponent,117
118,grouped_current_model,2026-03-27,2026-06-23,21,10,11,0,0.47619047619047616,-25.571428571428573,0.5205879651888962,-0.1072326636483446,-2.2518859366152366,0.7342991734627583,-0.5050899240885279,-0.10847555523336946,0.3082833523528249,-0.505130019504183,-4.0,4,0.6928,9,-0.9120069011054824,2.2727272727272707,0.5555555555555556,opponent,118
119,grouped_current_model,2026-04-08,2026-06-24,9,3,6,0,0.3333333333333333,-14.777777777777779,0.5059367051436219,-0.31673061550759396,-2.8505755395683456,0.9158625270729692,-1.0,-0.31673061550759396,0.3665387689848121,-0.9180700925702281,-3.0,4,0.8596,5,5.1160184024218225,5.116279069767438,0.6,opponent,119
120,grouped_current_model,2026-03-26,2026-06-29,40,18,22,0,0.45,-15.475,0.5188832706164147,-0.1615342490765152,-6.4613699630606085,0.8485222993875425,-0.4438750158177595,-0.16590602934382076,0.13176353058388798,-1.0714048397049862,-8.792623308990384,4,0.8606,21,1.9078466772070335,0.4690431519699833,0.5238095238095238,opponent,120
121,grouped_current_model,2026-03-30,2026-06-28,18,12,6,0,0.6666666666666666,-31.88888888888889,0.5193099887161907,0.2979244262684072,5.36263967283133,0.15498513548761048,-0.14442111313593867,0.3024233586534525,0.7050847918465487,1.3176027700839406,-4.0,4,0.1,10,-2.2861045336233716,-1.0030377715366523,0.4,opponent,121
