date,pitcher,side,proj,gap,edge,odds,actual,won,pnl,clv
2025-07-02,Sonny Gray,under 5.5,5.18,0.32,23.8,120,6,False,-100.0,2.33
2025-07-02,Jack Flaherty,under 5.5,4.53,0.97,29.6,105,9,False,-100.0,7.38
2025-06-30,Max Scherzer,under 5.5,4.43,1.07,28.7,100,7,False,-100.0,9.09
2025-06-29,Eric Lauer,over 4.5,5.65,1.15,18.0,100,4,False,-100.0,4.76
2025-06-29,Tarik Skubal,under 7.5,6.15,1.35,28.9,100,13,False,-100.0,-6.98
2025-06-29,Marcus Stroman,over 3.5,4.44,0.94,19.3,105,1,False,-100.0,-2.38
2025-06-28,Robbie Ray,under 6.5,5.72,0.78,23.5,105,6,True,105.0,-8.89
2025-06-28,Casey Mize,under 4.5,4.17,0.33,16.9,105,5,False,-100.0,9.65
2025-06-28,Zach Eflin,under 3.5,3.39,0.11,18.0,115,0,True,115.0,-4.44
2025-06-28,Slade Cecconi,under 3.5,3.31,0.19,25.8,125,5,False,-100.0,4.65
2025-06-27,Will Warren,under 6.5,5.36,1.14,27.3,100,7,False,-100.0,11.11
2025-06-27,Sawyer Gipson-Long,over 4.5,5.24,0.74,26.4,130,5,True,130.0,2.22
2025-06-27,Bryce Elder,over 4.5,5.18,0.68,22.4,125,2,False,-100.0,4.65
2025-06-26,Hunter Brown,under 6.5,5.62,0.88,19.5,-105,9,False,-100.0,4.43
2025-06-26,Clayton Kershaw,over 4.5,5.3,0.8,16.7,110,5,True,110.0,
2025-06-25,Jacob Misiorowski,under 5.5,4.73,0.77,22.1,100,8,False,-100.0,-6.98
2025-06-25,Max Scherzer,over 4.5,5.59,1.09,22.6,110,4,False,-100.0,7.56
2025-06-25,Joe Ryan,under 6.5,5.67,0.83,24.4,105,8,False,-100.0,0.0
2025-06-24,Freddy Peralta,under 6.5,5.1,1.4,32.3,100,8,False,-100.0,6.98
2025-06-24,Kris Bubic,under 5.5,4.3,1.2,22.8,-115,8,False,-100.0,12.17
2025-06-24,Tarik Skubal,under 8.5,6.17,2.33,18.2,-150,8,True,67.0,1.31
2025-06-23,Braxton Ashcraft,over 2.5,4.24,1.74,16.9,-140,2,False,-100.0,-3.11
2025-06-23,Bailey Ober,over 5.5,6.17,0.67,17.9,120,7,True,120.0,-2.22
2025-06-23,Paul Blackburn,over 3.5,3.99,0.49,16.5,120,5,True,120.0,4.76
2025-06-22,Shohei Ohtani,over 2.5,4.22,1.72,53.0,125,2,False,-100.0,0.0
2025-06-22,Antonio Senzatela,over 2.5,3.02,0.52,22.2,125,5,True,125.0,9.76
2025-06-22,Kyle Hendricks,over 3.5,4.23,0.73,25.7,125,2,False,-100.0,15.24
2025-06-21,Ryan Pepiot,under 5.5,5.07,0.43,23.4,115,7,False,-100.0,7.5
2025-06-21,Dylan Cease,under 6.5,4.62,1.88,37.7,-105,4,True,95.0,0.0
2025-06-21,Noah Cameron,under 3.5,3.26,0.24,24.6,120,2,True,120.0,2.33
2025-06-21,Aaron Civale,under 3.5,2.92,0.58,20.0,-105,2,True,95.0,17.14
2025-06-20,Zack Wheeler,under 6.5,6.12,0.38,15.7,105,8,False,-100.0,-4.65
2025-06-20,George Kirby,under 4.5,4.55,0.05,18.2,125,3,True,125.0,-2.17
2025-06-19,Edward Cabrera,under 4.5,4.64,0.14,23.6,140,5,False,-100.0,
2025-06-19,Tarik Skubal,under 8.5,6.32,2.18,28.1,-120,6,True,83.0,0.0
2025-06-18,Paul Blackburn,over 3.5,3.9,0.4,19.3,130,2,False,-100.0,2.22
2025-06-18,Adam Mazur,under 3.5,3.51,0.01,17.2,120,5,False,-100.0,7.32
2025-06-18,Garrett Crochet,under 7.5,6.82,0.68,26.0,115,8,False,-100.0,
2025-06-17,Kyle Hendricks,over 3.5,4.59,1.09,22.5,105,9,True,105.0,0.0
2025-06-16,Mick Abel,under 4.5,3.75,0.75,21.2,-105,3,True,95.0,10.35
2025-06-15,Brandon Walter,over 4.5,5.15,0.65,18.9,120,9,True,120.0,4.76
2025-06-14,Jack Flaherty,under 6.5,5.82,0.68,24.5,110,5,True,110.0,10.0
