feature,perm_delta_24,rank_24,perm_delta_25,rank_25
opp_batting_pa_roll20,-3.415705788871737e-05,260,5.927543325090489e-06,215
p_walks_roll3,-3.4350392098958514e-05,261,9.79345525053965e-07,223
p_walks_roll5,-3.565644789469413e-05,262,6.816536921645522e-05,154
p_k9_roll10,-3.689903918453474e-05,263,0.00010839213760427402,118
p_deep_start_rate_6ip_roll10,-3.765768214027965e-05,264,7.152049934557869e-05,151
opp_batting_bb_rate_roll20,-3.8126868899901466e-05,265,0.00013671233625276447,102
p_log_season_start_num,-4.083116503765805e-05,266,4.0525196527552156e-05,180
umpire_walks_avg_prior,-4.0974819610251065e-05,267,0.0002832450249634855,57
p_k_per_ip_roll20,-4.3557792139981014e-05,268,0.0005667586373082178,30
p_hits_per_bf_roll3,-4.695799250615806e-05,269,0.0003331914856448792,51
p_k_roll5_vs_roll20,-4.7286403925062005e-05,270,1.3252726511003842e-05,208
p_k9_career,-4.83757720156186e-05,271,-3.4148767759178965e-05,291
opp_batting_hits_avg_prior,-5.0699897398853724e-05,272,2.7621943337741152e-05,196
p_k_rate_roll3,-5.104100454556004e-05,273,0.00010228803959964062,120
venue_strikeouts_roll5,-5.205309211511189e-05,274,-8.595269413984586e-05,338
p_walks_career_avg_prior,-5.238401245979407e-05,275,7.29814355422631e-05,148
opp_pitcher_hits_allowed_roll5,-5.2931303310610466e-05,276,-3.9375046077139156e-05,298
sc_swinging_strike_rate_roll5,-5.4877873061354165e-05,277,-1.44291755577175e-06,250
p_hits_allowed_roll5,-5.548610617678307e-05,278,3.7927117186509206e-05,185
opp_batting_hits_roll5,-5.660412362482603e-05,279,4.403911665857851e-05,172
p_season_start_num,-5.6870027717570436e-05,280,1.651908003941216e-07,225
p_fip_no_hr_roll5,-5.7376521776220105e-05,281,0.00019594476749353884,75
p_hits_per_ip_roll20,-5.917507111659059e-05,282,-2.5105932738722635e-05,278
sc_statcast_pitches_avg_prior,-6.030034307880072e-05,283,0.00011743317097134831,111
p_bf_per_ip_career_prior,-6.0742196710839026e-05,284,4.140818952296233e-05,178
p_high_pitch_rate_90_roll20,-6.38303097789894e-05,285,-0.00010734337401840932,349
p_pitches_min_roll3,-6.486038330508759e-05,286,2.783818750577982e-05,195
sc_avg_release_speed_avg_prior,-6.597465888233956e-05,287,0.0001631232629193846,86
opp_batting_bb_rate_prior,-7.173496955323878e-05,288,0.00019914415744821669,74
p_batters_faced_std_roll20,-7.45322651929614e-05,289,7.522934408696891e-05,147
pvt_games_vs_opp,-7.566386842750017e-05,290,0.0013019839429098568,16
sc_offspeed_pct_roll20,-7.57962847614646e-05,291,0.0002108360854254254,71
opp_lineup_weighted_bb_rate_prior,-7.696204250609017e-05,292,-5.0702057165796785e-05,309
opp_lineup_left_batters_from_batters,-7.740135867508879e-05,293,8.699881722766812e-05,134
p_pitches_career_avg_prior,-7.768830405072702e-05,294,-0.00037128260728827025,397
umpire_hits_allowed_roll20,-7.972825801636497e-05,295,-0.000321533698462928,393
p_fip_no_hr_roll3,-8.253091334107233e-05,296,-0.00013454741471599085,364
p_k9_roll5,-8.440086616221532e-05,297,3.4119199569193626e-06,220
p_contact_rate_roll20,-8.512976059074084e-05,298,-0.0001014385682936103,345
p_bb_per_ip_roll3,-8.778109179949923e-05,299,5.27468870503478e-05,163
sc_slider_pct_roll20,-8.824974789689577e-05,300,7.645971268823714e-05,145
home_plate_umpire_id,-8.917833498025551e-05,301,-2.364877346114902e-05,277
umpire_walks_roll3,-9.236716269200862e-05,302,8.257772666542262e-05,140
p_hits_per_bf_roll5,-9.864072791860856e-05,303,-3.731031769158566e-05,295
venue_walks_avg_prior,-9.89567427482685e-05,304,9.890877890534888e-05,126
opp_batting_runs_avg_prior,-9.907458513456203e-05,305,2.268554438271675e-05,200
umpire_strikeouts_roll5,-9.961112930385596e-05,306,0.002159128335779181,9
umpire_walks_roll5,-9.972146441232788e-05,307,-0.00013467102976731925,365
opp_batting_hits_roll10,-0.00010419427240060397,308,-2.6998293143942752e-05,282
p_batters_faced_roll20,-0.00010442359943441115,309,0.00010071693618316502,123
p_hits_allowed_roll3,-0.00010470300056966141,310,-0.00014059769990251158,368
sc_fastball_pct_roll20,-0.00010580990823871872,311,-0.0001587023490978501,374
p_hits_per_bf_roll20,-0.00010624483444678922,312,0.00014982901359921196,94
